english,german,turkish,spanish,french,arabic,japanese
you,Sie,sen,usted,toi,أنت,君は
i,ich,ben,I,je,أنا,私
the,das,,la,les,ال,インクルード
to,zu,için,a,à,ل,に
a,ein,bir,a,une,أ,A
it,es,o,eso,il,هو - هي,それ
and,und,ve,y,et,و,そして
that,Das,o,que,cette,الذي - التي,それ
of,von,nın-nin,de,de,من,の
is,ist,dır-dir,es,est,هو,あります
in,im,içinde,en,dans,في,に
what,Was,ne,qué,quelle,ماذا او ما,何
we,wir,Biz,nosotros,nous,نحن,我々
me,mich,ben mi,me,moi,أنا,私に
this,diese,bu,esto,cette,هذا,この
he,er,o,él,il,هو,彼
for,zum,için,por,pour,ل,にとって
my,meine,benim,mi,ma,لي,じぶんの
on,auf,üzerinde,en,au,على,オン
have,haben,Sahip olmak,tengo,avoir,لديك,持ってる
your,Ihre,sizin,tu,votre,لك,君の
do,tun,yapmak,hacer,fais,فعل,行う
was,war,oldu,estaba,a été,كنت,ました
m,m,m,metro,m,م,メートル
no,Nein,Hayır,No,non,لا,番号
not,nicht,değil,no,ne pas,ليس,ではありません
be,Sein,olmak,ser,être,يكون,されます
are,sind,Hangi,están,sont,نكون,あります
don,Don,don,don,enfiler,اتشح,ドン
re,Re,yeniden,re,ré,إعادة,再
know,kennt,bilmek,saber,connaître,أعرف,知っています
can,können,Yapabilmek,lata,pouvez,تستطيع,できる
with,mit,ile,con,avec,مع,とともに
but,aber,fakat,pero,mais,لكن,だが
all,alle,herşey,todas,tout,الكل,すべて
so,so,yani,entonces,donc,وبالتالي,そう
just,gerade,sadece,sólo,juste,فقط,ただ
there,Dort,Orada,allí,là,هناك,そこ
here,Hier,İşte,aquí,ici,هنا,ここに
they,Sie,onlar,ellos,elles ou ils,أنهم,彼ら
like,mögen,sevmek,como,aimer,مثل,お気に入り
ll,ll,ll,ll,ll,ليرة لبنانية,LL
get,erhalten,almak,obtener,obtenir,احصل على,取得する
she,sie,o,ella,elle,هي,彼女
go,gehen,Git,ir,va,اذهب,行きます
if,wenn,Eğer,Si,si,إذا,もし
right,Recht,sağ,derecho,droite,حق,正しい
out,aus,dışarı,fuera,en dehors,خارج,でる
about,Über,hakkında,acerca de,à propos de,حول,約
up,oben,yukarı,arriba,en haut,فوق,アップ
at,beim,en,a,à,في,に
him,ihm,onu,él,lui,له,彼を
now,jetzt,şimdi,ahora,à présent,الآن,今
oh,Oh,aman,Oh,Oh,أوه,ああ
one,einer,bir,uno,une,واحد,1
come,Kommen Sie,gel,venir,venir,تأتي,来ます
well,Gut,iyi,bien,bien,نحن سوف,上手
her,ihr,ona,su,sa,ها,彼女の
how,Wie,Nasıl,cómo,comment,كيف,どうやって
yeah,Ja,Evet,Si,Oui,بلى,ええ
ve,ve,ettik,cinco,ve,لقد,VEの
will,werden,niyet,voluntad,volonté,إرادة,意志
got,habe,var,tiene,a obtenu,يملك,GOT
want,wollen,istemek,querer,vouloir,يريد,欲しいです
think,Überlegen,düşünmek,pensar,pense,فكر في,考えます
as,wie,gibi,como,comme,مثل,なので
see,sehen,görmek,ver,voir,يرى,見る
did,tat,yaptı,hizo,a fait,فعلت,した
good,gut,iyi,bien,bien,حسن,良い
who,WHO,DSÖ,OMS,qui,من الذى,WHO
why,Warum,neden,por qué,Pourquoi,لماذا,なぜ
from,von,itibaren,de,de,من عند,から
let,Lassen,İzin Vermek,dejar,laisser,يترك,てみましょう
his,seine,onun,su,le sien,له,彼の
yes,Ja,Evet,sí,Oui,نعم,はい
when,wann,ne zaman,Cuándo,lorsque,متي,いつ
going,gehen,gidiyor,yendo,Aller,ذاهب,行き
time,Zeit,zaman,hora,temps,زمن,時間
an,ein,bir,un,un,ل,AN
okay,in Ordnung,tamam,okey,d'accord,حسنا,はい
back,zurück,geri,espalda,dos,عودة,バック
look,aussehen,bak,Mira,voir,نظرة,外観
us,uns,bize,nosotros,nous,نحن,我ら
would,würde,Would,haría,aurait,سيكون,でしょう
them,Sie,onları,ellos,eux,معهم,それら
where,wo,nerede,dónde,où,أين,どこ
were,wurden,idi,fueron,ont été,كانوا,ました
take,nehmen,almak,llevar,prendre,يأخذ,取る
